drug,drug_id,drug_actif,class_medi,category
methadone,D08195,methadone,"Opioid Analgesics, Long-acting",Analgesics
methadone hydrochloride,D02102,methadone,"Opioid Analgesics, Long-acting",Analgesics
morphine,D08233,morphine,"Opioid Analgesics, Long-acting",Analgesics
morphine sulfate,D00842,morphine,"Opioid Analgesics, Long-acting",Analgesics
morphine hydrochloride hydrate,D02271,morphine,"Opioid Analgesics, Long-acting",Analgesics
morphine tartrate,D08234,morphine,"Opioid Analgesics, Long-acting",Analgesics
oxycodone,D05312,oxycodone,"Opioid Analgesics, Long-acting",Analgesics
oxycodone hydrochloride,D00847,oxycodone,"Opioid Analgesics, Long-acting",Analgesics
compound oxycodone,D02175,oxycodone,"Opioid Analgesics, Long-acting",Analgesics
oxycodone terephthalate,D03783,oxycodone,"Opioid Analgesics, Long-acting",Analgesics
oxycodone hydrochloride hydrate,D05462,oxycodone,"Opioid Analgesics, Long-acting",Analgesics
oxymorphone,D08323,oxymorphone,"Opioid Analgesics, Long-acting",Analgesics
oxymorphone hydrochloride,D00844,oxymorphone,"Opioid Analgesics, Long-acting",Analgesics
tramadol,D08623,tramadol,"Opioid Analgesics, Long-acting",Analgesics
tramadol hydrochloride,D01355,tramadol,"Opioid Analgesics, Long-acting",Analgesics
butorphanol,D03197,butorphanol,"Opioid Analgesics, Short-acting",Analgesics
butorphanol tartrate,D00837,butorphanol,"Opioid Analgesics, Short-acting",Analgesics
codeine,D00195,codeine,"Opioid Analgesics, Short-acting",Analgesics
codeine phosphate,D02101,codeine,"Opioid Analgesics, Short-acting",Analgesics
codeine polistirex,D03579,codeine,"Opioid Analgesics, Short-acting",Analgesics
codeine sulfate,D03580,codeine,"Opioid Analgesics, Short-acting",Analgesics
codeine hydrochloride,D07740,codeine,"Opioid Analgesics, Short-acting",Analgesics
fentanyl,D00320,fentanyl,"Opioid Analgesics, Short-acting",Analgesics
fentanyl citrate,D01399,fentanyl,"Opioid Analgesics, Short-acting",Analgesics
hydromorphone,D08047,hydromorphone,"Opioid Analgesics, Short-acting",Analgesics
hydromorphone hydrochloride,D00839,hydromorphone,"Opioid Analgesics, Short-acting",Analgesics
pethidine,D08343,meperidine,"Opioid Analgesics, Short-acting",Analgesics
meperidine hydrochloride,D01383,meperidine,"Opioid Analgesics, Short-acting",Analgesics
nalbuphine,D08246,nalbuphine,"Opioid Analgesics, Short-acting",Analgesics
nalbuphine hydrochloride,D00843,nalbuphine,"Opioid Analgesics, Short-acting",Analgesics
oxycodone,D05312,oxycodone,"Opioid Analgesics, Short-acting",Analgesics
oxycodone hydrochloride,D00847,oxycodone,"Opioid Analgesics, Short-acting",Analgesics
compound oxycodone,D02175,oxycodone,"Opioid Analgesics, Short-acting",Analgesics
oxycodone terephthalate,D03783,oxycodone,"Opioid Analgesics, Short-acting",Analgesics
oxycodone hydrochloride hydrate,D05462,oxycodone,"Opioid Analgesics, Short-acting",Analgesics
oxymorphone,D08323,oxymorphone,"Opioid Analgesics, Short-acting",Analgesics
oxymorphone hydrochloride,D00844,oxymorphone,"Opioid Analgesics, Short-acting",Analgesics
pentazocine,D00498,pentazocine,"Opioid Analgesics, Short-acting",Analgesics
pentazocine lactate,D02111,pentazocine,"Opioid Analgesics, Short-acting",Analgesics
pentazocine hydrochloride,D02227,pentazocine,"Opioid Analgesics, Short-acting",Analgesics
tapentadol,D06007,tapentadol,"Opioid Analgesics, Short-acting",Analgesics
tapentadol hydrochloride,D10199,tapentadol,"Opioid Analgesics, Short-acting",Analgesics
tramadol,D08623,tramadol,"Opioid Analgesics, Short-acting",Analgesics
tramadol hydrochloride,D01355,tramadol,"Opioid Analgesics, Short-acting",Analgesics
lidocaine,D00358,lidocaine,Local Anesthetics,Anesthetics
lidocaine hydrochloride,D02086,lidocaine,Local Anesthetics,Anesthetics
lidocaine hydrochloride monohydrate,D08127,lidocaine,Local Anesthetics,Anesthetics
lidocaine - prilocaine mixt,D02740,lidocaine and prilocaine,Local Anesthetics,Anesthetics
acamprosate,D07058,acamprosate,Alcohol Deterrents/Anti-craving,Anti-Addiction/Substance Abuse Treatment Agents
acamprosate calcium,D02780,acamprosate,Alcohol Deterrents/Anti-craving,Anti-Addiction/Substance Abuse Treatment Agents
disulfiram,D00131,disulfiram,Alcohol Deterrents/Anti-craving,Anti-Addiction/Substance Abuse Treatment Agents
naltrexone,D05113,naltrexone,Alcohol Deterrents/Anti-craving,Anti-Addiction/Substance Abuse Treatment Agents
naltrexone hydrochloride,D02095,naltrexone,Alcohol Deterrents/Anti-craving,Anti-Addiction/Substance Abuse Treatment Agents
buprenorphine,D07132,buprenorphine,Opioid Dependence Treatments,Anti-Addiction/Substance Abuse Treatment Agents
buprenorphine hydrochloride,D00836,buprenorphine,Opioid Dependence Treatments,Anti-Addiction/Substance Abuse Treatment Agents
buprenorphine - naloxone mixt,D10250,buprenorphine/naloxone,Opioid Dependence Treatments,Anti-Addiction/Substance Abuse Treatment Agents
naltrexone,D05113,naltrexone,Opioid Dependence Treatments,Anti-Addiction/Substance Abuse Treatment Agents
naltrexone hydrochloride,D02095,naltrexone,Opioid Dependence Treatments,Anti-Addiction/Substance Abuse Treatment Agents
naloxone,D08249,naloxone,Opioid Reversal Agents,Anti-Addiction/Substance Abuse Treatment Agents
naloxone hydrochloride,D01340,naloxone,Opioid Reversal Agents,Anti-Addiction/Substance Abuse Treatment Agents
bupropion,D07591,bupropion,Smoking Cessation Agents,Anti-Addiction/Substance Abuse Treatment Agents
bupropion hydrochloride,D00817,bupropion,Smoking Cessation Agents,Anti-Addiction/Substance Abuse Treatment Agents
bupropion hydrobromide,D07938,bupropion,Smoking Cessation Agents,Anti-Addiction/Substance Abuse Treatment Agents
nicotine,D03365,nicotine,Smoking Cessation Agents,Anti-Addiction/Substance Abuse Treatment Agents
nicotine bitartrate,D05156,nicotine,Smoking Cessation Agents,Anti-Addiction/Substance Abuse Treatment Agents
nicotine polacrilex,D05157,nicotine,Smoking Cessation Agents,Anti-Addiction/Substance Abuse Treatment Agents
varenicline,D08669,varenicline,Smoking Cessation Agents,Anti-Addiction/Substance Abuse Treatment Agents
varenicline tartrate,D06282,varenicline,Smoking Cessation Agents,Anti-Addiction/Substance Abuse Treatment Agents
amikacin,D02543,amikacin,Aminoglycosides,Antibacterials
amikacin sulfate,D00865,amikacin,Aminoglycosides,Antibacterials
gentamicin,D08013,gentamicin,Aminoglycosides,Antibacterials
gentamicin sulfate,D01063,gentamicin,Aminoglycosides,Antibacterials
kanamycin sulfate,D00866,kanamycin,Aminoglycosides,Antibacterials
kanamycin sulfate,D03262,kanamycin,Aminoglycosides,Antibacterials
neomycin,D08260,neomycin,Aminoglycosides,Antibacterials
neomycin sulfate,D01618,neomycin,Aminoglycosides,Antibacterials
neomycin palmitate,D05141,neomycin,Aminoglycosides,Antibacterials
neomycin undecylenate,D05142,neomycin,Aminoglycosides,Antibacterials
paromomycin,D07467,paromomycin,Aminoglycosides,Antibacterials
paromomycin sulfate,D00868,paromomycin,Aminoglycosides,Antibacterials
streptomycin,D08531,streptomycin,Aminoglycosides,Antibacterials
streptomycin sulfate,D01350,streptomycin,Aminoglycosides,Antibacterials
tobramycin,D00063,tobramycin,Aminoglycosides,Antibacterials
tobramycin sulfate,D02542,tobramycin,Aminoglycosides,Antibacterials
cefadroxil,D00257,cefadroxil,"Beta-lactam, Cephalosporins",Antibacterials
cefadroxil,D02353,cefadroxil,"Beta-lactam, Cephalosporins",Antibacterials
cefazolin,D02299,cefazolin,"Beta-lactam, Cephalosporins",Antibacterials
cefazolin sodium,D00905,cefazolin,"Beta-lactam, Cephalosporins",Antibacterials
cefazolin sodium hydrate,D02226,cefazolin,"Beta-lactam, Cephalosporins",Antibacterials
cefalexin,D00263,cephalexin,"Beta-lactam, Cephalosporins",Antibacterials
cephalexin,D00906,cephalexin,"Beta-lactam, Cephalosporins",Antibacterials
cephalexin hydrochloride,D03438,cephalexin,"Beta-lactam, Cephalosporins",Antibacterials
cefaclor,D00256,cefaclor,"Beta-lactam, Cephalosporins",Antibacterials
cefaclor,D02352,cefaclor,"Beta-lactam, Cephalosporins",Antibacterials
cefoxitin,D02345,cefoxitin,"Beta-lactam, Cephalosporins",Antibacterials
cefoxitin sodium,D00913,cefoxitin,"Beta-lactam, Cephalosporins",Antibacterials
cefprozil,D07651,cefprozil,"Beta-lactam, Cephalosporins",Antibacterials
cefprozil,D00261,cefprozil,"Beta-lactam, Cephalosporins",Antibacterials
cefuroxime,D00262,cefuroxime,"Beta-lactam, Cephalosporins",Antibacterials
cefuroxime axetil,D00914,cefuroxime,"Beta-lactam, Cephalosporins",Antibacterials
cefuroxime sodium,D00915,cefuroxime,"Beta-lactam, Cephalosporins",Antibacterials
cefuroxime pivoxetil,D03431,cefuroxime,"Beta-lactam, Cephalosporins",Antibacterials
cefdinir,D00917,cefdinir,"Beta-lactam, Cephalosporins",Antibacterials
cefditoren,D07639,cefditoren,"Beta-lactam, Cephalosporins",Antibacterials
cefditoren pivoxil,D01628,cefditoren,"Beta-lactam, Cephalosporins",Antibacterials
cefixime,D00258,cefixime,"Beta-lactam, Cephalosporins",Antibacterials
cefixime hydrate,D07640,cefixime,"Beta-lactam, Cephalosporins",Antibacterials
cefotaxime,D07647,cefotaxime,"Beta-lactam, Cephalosporins",Antibacterials
cefotaxime sodium,D00919,cefotaxime,"Beta-lactam, Cephalosporins",Antibacterials
cefpodoxime,D07650,cefpodoxime,"Beta-lactam, Cephalosporins",Antibacterials
cefpodoxime proxetil,D00920,cefpodoxime,"Beta-lactam, Cephalosporins",Antibacterials
ceftazidime,D07654,ceftazidime,"Beta-lactam, Cephalosporins",Antibacterials
ceftazidime,D00921,ceftazidime,"Beta-lactam, Cephalosporins",Antibacterials
ceftibuten,D00922,ceftibuten,"Beta-lactam, Cephalosporins",Antibacterials
ceftibuten hydrate,D02121,ceftibuten,"Beta-lactam, Cephalosporins",Antibacterials
ceftriaxone,D07659,ceftriaxone,"Beta-lactam, Cephalosporins",Antibacterials
ceftriaxone sodium,D00924,ceftriaxone,"Beta-lactam, Cephalosporins",Antibacterials
cefepime,D02376,cefepime,"Beta-lactam, Cephalosporins",Antibacterials
cefepime hydrochloride,D01157,cefepime,"Beta-lactam, Cephalosporins",Antibacterials
ceftaroline fosamil,D08884,ceftaroline,"Beta-lactam, Cephalosporins",Antibacterials
amoxicillin,D07452,amoxicillin,"Beta-lactam, Penicillins",Antibacterials
amoxicillin,D00229,amoxicillin,"Beta-lactam, Penicillins",Antibacterials
amoxicillin sodium,D02925,amoxicillin,"Beta-lactam, Penicillins",Antibacterials
amoxicillin - potassium clavulanate combination,D00230,amoxicillin and clavulanate potassium,"Beta-lactam, Penicillins",Antibacterials
ampicillin,D00204,ampicillin,"Beta-lactam, Penicillins",Antibacterials
ampicillin hydrate,D01251,ampicillin,"Beta-lactam, Penicillins",Antibacterials
ampicillin sodium,D02119,ampicillin,"Beta-lactam, Penicillins",Antibacterials
ampicillin benzathine,D07570,ampicillin,"Beta-lactam, Penicillins",Antibacterials
ampicillin sodium and sulbactam sodium for injection,D02065,ampicillin sodium and sulbactam sodium,"Beta-lactam, Penicillins",Antibacterials
piperacillin,D08380,piperacillin,"Beta-lactam, Penicillins",Antibacterials
piperacillin sodium,D00466,piperacillin,"Beta-lactam, Penicillins",Antibacterials
piperacillin,D02251,piperacillin,"Beta-lactam, Penicillins",Antibacterials
benzylpenicillin,D02336,penicillin g,"Beta-lactam, Penicillins",Antibacterials
penicillin g potassium,D01053,penicillin g,"Beta-lactam, Penicillins",Antibacterials
penicillin g benzathine,D02157,penicillin g,"Beta-lactam, Penicillins",Antibacterials
penicillin g procaine,D02461,penicillin g,"Beta-lactam, Penicillins",Antibacterials
penicillin g sodium,D05408,penicillin g,"Beta-lactam, Penicillins",Antibacterials
clemizole penicillin,D07712,penicillin g,"Beta-lactam, Penicillins",Antibacterials
penicillin v,D05411,penicillin v,"Beta-lactam, Penicillins",Antibacterials
penicillin v potassium,D00497,penicillin v,"Beta-lactam, Penicillins",Antibacterials
penicillin v benzathine,D02405,penicillin v,"Beta-lactam, Penicillins",Antibacterials
phenoxymethylpenicillin benzathine,D02506,penicillin v,"Beta-lactam, Penicillins",Antibacterials
penicillin v hydrabamine,D05413,penicillin v,"Beta-lactam, Penicillins",Antibacterials
phenoxymethylpenicillin calcium,D08360,penicillin v,"Beta-lactam, Penicillins",Antibacterials
dicloxacillin,D02348,dicloxacillin,"Beta-lactam, Penicillins",Antibacterials
dicloxacillin sodium,D02137,dicloxacillin,"Beta-lactam, Penicillins",Antibacterials
nafcillin,D08242,nafcillin,"Beta-lactam, Penicillins",Antibacterials
nafcillin sodium,D00928,nafcillin,"Beta-lactam, Penicillins",Antibacterials
oxacillin,D08307,oxacillin,"Beta-lactam, Penicillins",Antibacterials
oxacillin sodium,D00929,oxacillin,"Beta-lactam, Penicillins",Antibacterials
aztreonam,D00240,aztreonam,"Beta-lactam, Other",Antibacterials
aztreonam lysine,D06558,aztreonam,"Beta-lactam, Other",Antibacterials
doripenem,D03895,doripenem,"Beta-lactam, Other",Antibacterials
doripenem hydrate,D01836,doripenem,"Beta-lactam, Other",Antibacterials
ertapenem,D07908,ertapenem,"Beta-lactam, Other",Antibacterials
ertapenem sodium,D04049,ertapenem,"Beta-lactam, Other",Antibacterials
imipenem hydrate - cilastatin sodium,D00344,imipenem and cilastatin sodium,"Beta-lactam, Other",Antibacterials
meropenem,D08185,meropenem,"Beta-lactam, Other",Antibacterials
meropenem,D02222,meropenem,"Beta-lactam, Other",Antibacterials
azithromycin,D07486,azithromycin,Macrolides,Antibacterials
azithromycin hydrate,D02134,azithromycin,Macrolides,Antibacterials
azithromycin,D06390,azithromycin,Macrolides,Antibacterials
clarithromycin,D00276,clarithromycin,Macrolides,Antibacterials
clarithromycin lactobionate,D07710,clarithromycin,Macrolides,Antibacterials
erythromycin,D00140,erythromycin,Macrolides,Antibacterials
erythromycin estolate,D00851,erythromycin,Macrolides,Antibacterials
erythromycin ethylsuccinate,D01361,erythromycin,Macrolides,Antibacterials
erythromycin lactobionate,D02009,erythromycin,Macrolides,Antibacterials
erythromycin stearate,D02184,erythromycin,Macrolides,Antibacterials
erythromycin acistrate,D02523,erythromycin,Macrolides,Antibacterials
erythromycin gluceptate,D02524,erythromycin,Macrolides,Antibacterials
erythromycin propionate,D02525,erythromycin,Macrolides,Antibacterials
erythromycin salnacedin,D04054,erythromycin,Macrolides,Antibacterials
erythromycin thiocyanate,D07909,erythromycin,Macrolides,Antibacterials
erythromycin stinoprate,D07910,erythromycin,Macrolides,Antibacterials
fidaxomicin,D09394,fidaxomicin,Macrolides,Antibacterials
telithromycin,D01078,telithromycin,Macrolides,Antibacterials
besifloxacin hydrochloride,D08872,besifloxacin,Quinolones,Antibacterials
ciprofloxacin,D00186,ciprofloxacin,Quinolones,Antibacterials
ciprofloxacin hydrochloride,D02216,ciprofloxacin,Quinolones,Antibacterials
ciprofloxacin lactate,D07702,ciprofloxacin,Quinolones,Antibacterials
gatifloxacin,D08011,gatifloxacin,Quinolones,Antibacterials
gatifloxacin,D00589,gatifloxacin,Quinolones,Antibacterials
gemifloxacin,D08012,gemifloxacin,Quinolones,Antibacterials
gemifloxacin mesylate,D02471,gemifloxacin,Quinolones,Antibacterials
levofloxacin,D08120,levofloxacin,Quinolones,Antibacterials
levofloxacin,D00588,levofloxacin,Quinolones,Antibacterials
moxifloxacin,D08237,moxifloxacin,Quinolones,Antibacterials
moxifloxacin hydrochloride,D00874,moxifloxacin,Quinolones,Antibacterials
norfloxacin,D00210,norfloxacin,Quinolones,Antibacterials
norfloxacin nicotinate,D08287,norfloxacin,Quinolones,Antibacterials
ofloxacin,D00453,ofloxacin,Quinolones,Antibacterials
ofloxacin hydrochloride,D08291,ofloxacin,Quinolones,Antibacterials
sulfacetamide,D05947,sulfacetamide,Sulfonamides,Antibacterials
sulfacetamide sodium,D00871,sulfacetamide,Sulfonamides,Antibacterials
sulfadiazine,D00587,sulfadiazine,Sulfonamides,Antibacterials
sulfadiazine sodium,D05949,sulfadiazine,Sulfonamides,Antibacterials
"sulfadiazine, silver",D00433,sulfadiazine,Sulfonamides,Antibacterials
co-trimoxazole,D00285,sulfamethoxazole and trimethoprim,Sulfonamides,Antibacterials
demeclocycline,D03680,demeclocycline,Tetracyclines,Antibacterials
demeclocycline hydrochloride,D00290,demeclocycline,Tetracyclines,Antibacterials
doxycycline,D07876,doxycycline,Tetracyclines,Antibacterials
doxycycline,D00307,doxycycline,Tetracyclines,Antibacterials
doxycycline hyclate,D02129,doxycycline,Tetracyclines,Antibacterials
doxycycline calcium,D03903,doxycycline,Tetracyclines,Antibacterials
doxycycline fosfatex,D03904,doxycycline,Tetracyclines,Antibacterials
doxycycline hydrochloride,D07877,doxycycline,Tetracyclines,Antibacterials
minocycline,D05045,minocycline,Tetracyclines,Antibacterials
minocycline hydrochloride,D00850,minocycline,Tetracyclines,Antibacterials
tetracycline,D00201,tetracycline,Tetracyclines,Antibacterials
tetracycline hydrochloride,D02122,tetracycline,Tetracyclines,Antibacterials
tetracycline metaphosphate,D06098,tetracycline,Tetracyclines,Antibacterials
trimethoprim,D00145,trimethoprim,"Antibacterials, Other",Antibacterials
trimethoprim sulfate,D06236,trimethoprim,"Antibacterials, Other",Antibacterials
trimethoprim lactate,D08644,trimethoprim,"Antibacterials, Other",Antibacterials
vancomycin,D00212,vancomycin,"Antibacterials, Other",Antibacterials
vancomycin hydrochloride,D00926,vancomycin,"Antibacterials, Other",Antibacterials
clindamycin,D00277,clindamycin,"Antibacterials, Other",Antibacterials
clindamycin phosphate,D01073,clindamycin,"Antibacterials, Other",Antibacterials
clindamycin palmitate hydrochloride,D01990,clindamycin,"Antibacterials, Other",Antibacterials
clindamycin hydrochloride,D02132,clindamycin,"Antibacterials, Other",Antibacterials
clindamycin phosphate hydrate,D10531,clindamycin,"Antibacterials, Other",Antibacterials
lincomycin,D00223,lincomycin,"Antibacterials, Other",Antibacterials
lincomycin hydrochloride hydrate,D02346,lincomycin,"Antibacterials, Other",Antibacterials
nitrofurantoin,D00439,nitrofurantoin,"Antibacterials, Other",Antibacterials
linezolid,D00947,linezolid,"Antibacterials, Other",Antibacterials
"acetic acid, glacial",D00010,acetic acid,"Antibacterials, Other",Antibacterials
bacitracin,D00128,bacitracin,"Antibacterials, Other",Antibacterials
bacitracin methylene disalicylate,D03047,bacitracin,"Antibacterials, Other",Antibacterials
bacitracin zinc,D03048,bacitracin,"Antibacterials, Other",Antibacterials
chloramphenicol,D00104,chloramphenicol,"Antibacterials, Other",Antibacterials
chloramphenicol palmitate,D01072,chloramphenicol,"Antibacterials, Other",Antibacterials
chloramphenicol sodium succinate,D02185,chloramphenicol,"Antibacterials, Other",Antibacterials
chloramphenicol stearate,D07674,chloramphenicol,"Antibacterials, Other",Antibacterials
chloramphenicol succinate,D07675,chloramphenicol,"Antibacterials, Other",Antibacterials
chloramphenicol pantothenate complex,D03461,chloramphenicol,"Antibacterials, Other",Antibacterials
daptomycin,D01080,daptomycin,"Antibacterials, Other",Antibacterials
fosfomycin,D04253,fosfomycin,"Antibacterials, Other",Antibacterials
fosfomycin tromethamine,D00925,fosfomycin,"Antibacterials, Other",Antibacterials
fosfomycin calcium hydrate,D02187,fosfomycin,"Antibacterials, Other",Antibacterials
fosfomycin sodium,D02188,fosfomycin,"Antibacterials, Other",Antibacterials
fosfomycin calcium,D07995,fosfomycin,"Antibacterials, Other",Antibacterials
gramicidin,D04369,gramicidin,"Antibacterials, Other",Antibacterials
gramicidin s hydrochloride,D02230,gramicidin,"Antibacterials, Other",Antibacterials
mafenide,D02351,mafenide,"Antibacterials, Other",Antibacterials
mafenide acetate,D01166,mafenide,"Antibacterials, Other",Antibacterials
homosulfamine,D04815,mafenide,"Antibacterials, Other",Antibacterials
methenamine,D00393,methenamine,"Antibacterials, Other",Antibacterials
methenamine hippurate,D00855,methenamine,"Antibacterials, Other",Antibacterials
methenamine mandelate,D00856,methenamine,"Antibacterials, Other",Antibacterials
methenamine sulfosalicylate,D08199,methenamine,"Antibacterials, Other",Antibacterials
metronidazole,D00409,metronidazole,"Antibacterials, Other",Antibacterials
metronidazole hydrochloride,D05016,metronidazole,"Antibacterials, Other",Antibacterials
metronidazole phosphate,D05017,metronidazole,"Antibacterials, Other",Antibacterials
metronidazole benzoate,D08214,metronidazole,"Antibacterials, Other",Antibacterials
mupirocin,D01076,mupirocin,"Antibacterials, Other",Antibacterials
mupirocin calcium,D02195,mupirocin,"Antibacterials, Other",Antibacterials
polymyxin b,D08401,polymyxin b,"Antibacterials, Other",Antibacterials
polymyxin b sulfate,D01066,polymyxin b,"Antibacterials, Other",Antibacterials
retapamulin,D05720,retapamulin,"Antibacterials, Other",Antibacterials
rifaximin,D02554,rifaximin,"Antibacterials, Other",Antibacterials
telavancin hydrochloride,D06057,telavancin,"Antibacterials, Other",Antibacterials
tinidazole,D01426,tinidazole,"Antibacterials, Other",Antibacterials
tigecycline,D01079,tigecycline,"Antibacterials, Other",Antibacterials
ethosuximide,D00539,ethosuximide,Calcium Channel Modifying Agents,Anticonvulsants
methsuximide,D00404,methsuximide,Calcium Channel Modifying Agents,Anticonvulsants
pregabalin,D02716,pregabalin,Calcium Channel Modifying Agents,Anticonvulsants
zonisamide,D00538,zonisamide,Calcium Channel Modifying Agents,Anticonvulsants
clobazam,D01253,clobazam,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
clonazepam,D00280,clonazepam,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
clorazepate dipotassium,D00694,clorazepate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
clorazepate monopotassium,D03562,clorazepate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
diazepam,D00293,diazepam,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
lorazepam,D00365,lorazepam,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
mephobarbital,D00700,mephobarbital,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
primidone,D00474,primidone,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
divalproex sodium,D00304,divalproex,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
gabapentin,D00332,gabapentin,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
gabapentin enacarbil,D09539,gabapentin,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
primidone,D00474,primidone,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
tiagabine,D08588,tiagabine,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
tiagabine hydrochloride,D02097,tiagabine,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
